mega_cd,mega_nm,cty_cd,cty_nm,from_nm,to_nm,from_cd,to_cd,change_date,reverse
47,경상북도,4729,경산시,압량면,압량읍,47290360,47290256,20200101,
47,경상북도,4772,군위군,고로면,삼국유사면,47720370,47720380,20210101,
47,경상북도,4775,청송군,부동면,주왕산면,47750310,47750315,20190301,
47,경상북도,4783,고령군,고령읍,대가야읍,47830250,47830253,20150402,
47,경상북도,4790,예천군,상리면,효자면,47900320,47900420,20160201,
47,경상북도,4790,예천군,하리면,은풍면,47900330,47900430,20160201,
47,경상북도,4793,울진군,서면,금강송면,47930320,47930390,20150421,
47,경상북도,4793,울진군,원남면,매화면,47930340,47930400,20150421,
48,경상남도,4812,창원시,의창구 용지동,성산구 용지동,48121550,48123515,20210701,
48,경상남도,4812,창원시,마산합포구 반월동,마산합포구 반월중앙동,48125550,48125565,20170101,
48,경상남도,4812,창원시,마산합포구 중앙동,마산합포구 반월중앙동,48125560,48125565,20170101,
48,경상남도,4812,창원시,마산합포구 동서동,마산합포구 오동동,48125590,48125630,20170101,
48,경상남도,4812,창원시,마산합포구 성호동,마산합포구 오동동,48125600,48125630,20170101,
48,경상남도,4812,창원시,마산합포구 노산동,마산합포구 교방동,48125620,48125610,20200101,
48,경상남도,4812,창원시,마산회원구 석전1동,마산회원구 석전동,48127530,48127545,20170101,
48,경상남도,4812,창원시,마산회원구 석전2동,마산회원구 석전동,48127540,48127545,20170101,
48,경상남도,4812,창원시,진해구 중앙동,진해구 충무동,48129510,48129530,20200101,
48,경상남도,4812,창원시,진해구 태평동,진해구 충무동,48129520,48129530,20200101,
48,경상남도,4817,진주시,상대1동,상대동,48170660,48170673,20170101,
48,경상남도,4817,진주시,상대2동,상대동,48170670,48170673,20170101,
48,경상남도,4817,진주시,하대1동,하대동,48170676,48170678,20170101,
48,경상남도,4817,진주시,하대2동,하대동,48170677,48170678,20170101,
48,경상남도,4831,거제시,마전동,장승포동,48310520,48310510,20160501,
48,경상남도,4873,함안군,칠원읍,칠원읍,48730370,48730253,20150101,
48,경상남도,4873,함안군,칠원면,칠원읍,48730370,48730253,20150101,









